AUTHOR,BORN_DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,STYLE,SCHOOL,TIMEFRAME
"SUSTERMANS, Justus","(b. 1597, Antwerpen, d. 1681, Firenze)",Portrait of Prince Valdemar Christian of Denmark,-,"Oil on canvas, 73 x 58 cm","Galleria Palatina (Palazzo Pitti), Florence",http://www.wga.hu/html/s/susterma/valdemar.html,painting,portrait,Flemish,1601-1650
"LIPPI, Fra Filippo","(b. 1406, Firenze, d. 1469, Spoleto)",Funeral of St Jerome (detail),c. 1460,Tempera on wood,"Duomo, Prato",http://www.wga.hu/html/l/lippi/filippo/1460/5funeran.html,painting,portrait,Italian,1401-1450
"VELÁZQUEZ, Diego Rodriguez de Silva y","(b. 1599, Sevilla, d. 1660, Madrid)",Abbess Jerónima de la Fuente,1620,"Oil on canvas, 162 x 107,5 cm","Museo del Prado, Madrid",http://www.wga.hu/html/v/velazque/01/0111vela.html,painting,portrait,Spanish,1601-1650
"MARATTI, Carlo","(b. 1625, Camerano, d. 1713, Roma)",Portrait of Francesca Gommi Maratta,c. 1690,"Oil on canvas, 99 x 75 cm",Private collection,http://www.wga.hu/html/m/maratti/selfwife.html,painting,portrait,Italian,1651-1700
DONATELLO,"(b. ca. 1386, Firenze, d. 1466, Firenze)",Equestrian Statue of Gattamelata (detail),1447-50,Bronze,"Piazza del Santo, Padua",http://www.wga.hu/html/d/donatell/2_mature/padova/3gatta_4.html,sculpture,portrait,Italian,1401-1450
"DEGAS, Edgar","(b. 1834, Paris, d. 1917, Paris)",Portrait of Gennaro Bellelli,1860,"Pencil, 272 x 227 mm","Musée du Louvre, Paris",http://www.wga.hu/html/d/degas/7/graphi03.html,graphics,portrait,French,1851-1900
"TURA, Cosm?","(b. ca. 1430, Ferrara, d. 1495, Ferrara)",Ercole I d'Este (obverse) and Eleonora of Aragon (reverse),c. 1477,"Cast bronze, diameter 7 cm","Biblioth?que Nationale, Paris",http://www.wga.hu/html/t/tura/various/zmedal1.html,sculpture,portrait,Italian,1451-1500
"VELÁZQUEZ, Diego Rodriguez de Silva y","(b. 1599, Sevilla, d. 1660, Madrid)",Don Baltasar Carlos,c. 1640,"Oil on canvas, 128,5 x 99 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/v/velazque/06/0612vela.html,painting,portrait,Spanish,1601-1650
"DÜRER, Albrecht","(b. 1471, Nürnberg, d. 1528, Nürnberg)",Willibald Pirckheimer,1503,"Charcoal drawing, 282 x 208 mm","Staatliche Museen, Berlin",http://www.wga.hu/html/d/durer/2/11/2/04pirckh.html,graphics,portrait,German,1501-1550
"RUBENS, Peter Paul","(b. 1577, Siegen, d. 1640, Antwerpen)",Portrait of a Young Girl,1615-16,"Oil on canvas, 37 x 27 cm","Liechtenstein Museum, Vienna",http://www.wga.hu/html/r/rubens/41portra/10portra.html,painting,portrait,Flemish,1601-1650
"DYCK, Sir Anthony van","(b. 1599, Antwerpen, d. 1641, London)",Portrait of Maria de Tassis,1629-30,"Oil on canvas, 128 x 92 cm","Liechtenstein Museum, Vienna",http://www.wga.hu/html/d/dyck_van/2portrai/tassis2.html,painting,portrait,Flemish,1601-1650
"RUBENS, Peter Paul","(b. 1577, Siegen, d. 1640, Antwerpen)","The Artist and His First Wife, Isabella Brant, in the Honeysuckle Bower",1609-10,"Oil on canvas, 178 x 136,5 cm","Alte Pinakothek, Munich",http://www.wga.hu/html/r/rubens/41portra/08artist.html,painting,portrait,Flemish,1601-1650
"BOTTICELLI, Sandro","(b. 1445, Firenze, d. 1510, Firenze)",Portrait of Dante,c. 1495,"Tempera on canvas, 54,7 x 47,5 cm",Private collection,http://www.wga.hu/html/b/botticel/7portrai/14dante.html,painting,portrait,Italian,1451-1500
ADRIANO FIORENTINO,"(b. ca. 1455, Firenze, d. 1499, Firenze)",Giovanni Gioviano Pontano,1488-94,"Marble, 51 x 33 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/a/adriano/pontano2.html,sculpture,portrait,Italian,1451-1500
"INGRES, Jean-Auguste-Dominique","(b. 1780, Montauban, d. 1867, Paris)",Portrait of Count Guryev,1821,"Oil on canvas, 107 x 86 cm","The Hermitage, St. Petersburg",http://www.wga.hu/html/i/ingres/10ingrex.html,painting,portrait,French,1801-1850
"LIEVENS, Jan","(b. 1607, Leiden, d. 1674, Amsterdam)",Young Man in a Yellow Robe,1630-31,"Oil on canvas, 112 x 99 cm","National Gallery of Scotland, Edinburgh",http://www.wga.hu/html/l/lievens/yellowro.html,painting,portrait,Dutch,1601-1650
"GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Portrait of a Patient in Saint-Paul Hospital,"October 1889, Saint-Rémy","Oil on canvas, 33 x 24 cm","Rijksmuseum Vincent van Gogh, Amsterdam",http://www.wga.hu/html/g/gogh_van/14/5portra3.html,painting,portrait,Dutch,1851-1900
"GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Self-Portrait,"September 1889, Saint-Rémy","Oil on canvas, 65 x 54 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/g/gogh_van/16/selfpo34.html,painting,portrait,Dutch,1851-1900
"KEYSER, Thomas de","(b. 1596/97, Amsterdam, d. 1667, Amsterdam)",Portrait of a Woman with a Balance,1625-26,"Oil on wood, 23 x 17 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/html/k/keyser/thomas/pendant2.html,painting,portrait,Dutch,1601-1650
"FELICI, Vincenzo",(active 1667-1707),"John Percival, First Earl of Egmont",1707,"Marble, height 83,8 (with socle)","National Portrait Gallery, London",http://www.wga.hu/html/f/felici/percival.html,sculpture,portrait,Italian,1651-1700
"LOTTO, Lorenzo","(b. ca. 1480, Venezia, d. 1556, Loreto)",Portrait of a Goldsmith in Three Positions,c. 1530,"Oil on canvas, 52 x 79 cm","Kunsthistorisches Museum, Vienna",http://www.wga.hu/html/l/lotto/4/13goldsm.html,painting,portrait,Italian,1501-1550
"CORINTH, Lovis","(b. 1858, Tapiau, d. 1925, Zandvoort)",Portrait of Julius Meier-Graefe,1917,"Oil on canvas, 90 x 70 cm","Musée d'Orsay, Paris",http://www.wga.hu/html/c/corinth/corint07.html,painting,portrait,German,1851-1900
"WILKIE, Sir David","(b. 1785, Cults, Fife, d. 1841, off Malta)","Sotiri, Dragoman of Mr Colquhoun",1840,"Watercolour, gouache and oil over pencil, 475 x 328 mm","Ashmolean Museum, Oxford",http://www.wga.hu/html/w/wilkie/sotiri.html,graphics,portrait,Scottish,1801-1850
"GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",L'Arlésienne (Madame Ginoux),"February 1890, Saint-Rémy","Oil on canvas, 65 x 49 cm","Rijksmuseum Kröller-Müller, Otterlo",http://www.wga.hu/html/g/gogh_van/14/5portra5.html,painting,portrait,Dutch,1851-1900
"JONSON VAN CEULEN, Cornelius the Elder","(b. 1593, London, d. 1661, Utrecht)",Portrait of a Young Lady,1654,"Oil on canvas, 85 x 72 cm",Private collection,http://www.wga.hu/html/j/jonson/elder/portyoun.html,painting,portrait,Flemish,1601-1650
"GUILLAIN, Simon","(b. 1581, Paris, d. 1658, Paris)",The Infant Louis XIV,c. 1643,"Bronze, height 146 cm","Musée du Louvre, Paris",http://www.wga.hu/html/g/guillain/louis142.html,sculpture,portrait,French,1601-1650
"COURBET, Gustave","(b. 1819, Ornans, d. 1877, La Tour-de-Peilz)",Self-Portrait with Black Dog,1842-44,"Oil on canvas, 46 x 56 cm","Musée du Petit Palais, Paris",http://www.wga.hu/html/c/courbet/2/courb204.html,painting,portrait,French,1851-1900
"CÉZANNE, Paul","(b. 1839, Aix-en-Provence, d. 1906, Aix-en-Provence)",Self-Portrait on Rose Background,1875-77,"Oil on canvas, 65 x 54 cm",Private collection,http://www.wga.hu/html/c/cezanne/2/4portra2.html,painting,portrait,French,1851-1900
"RENOIR, Pierre-Auguste","(b, 1841, Limoges, d. 1919, Cagnes-sur-Mer)",Girl with a Hoop,1885,"Oil on canvas, 126 x 77 cm","National Gallery of Art, Washington",http://www.wga.hu/html/r/renoir/3/3renoi23.html,painting,portrait,French,1851-1900
"MASSYS, Quentin","(b. 1465/66, Leuven, d. 1530, Antwerpen)",Old Man in Profile,c. 1517,"Oil on wood, 63 x 43 cm",Private collection,http://www.wga.hu/html/m/massys/quentin/2/portraix.html,painting,portrait,Flemish,1451-1500
